category,keywords,question,answer
행정,훈련 장려금,훈련장려금 수령 계좌 정보가 안보이면 어떻게 하나요?,"개강전이라면, 고용 24 로그인 → 온라인 수강신청 → 수강신청 상세보기 클릭
개강 이후라면, 부트캠프별로 안내된 ‘구글폼 링크(훈련장려금 변경 구글폼 신청링크)’를 통해 변경 정보 제출"
행정,"출결, 외출",국민취업지원제도 관련으로 고용복지센터와 상담이 필요한데 이 경우 외출로 다녀오면 되나요? 아니면 공적인 결석으로 인정해주나요?,"해당 사유로 공적인 결석은 어려우며, ‘외출’ 또는 ‘조퇴’ QR처리 필요"
행정,행정,이사를 해서 집주소가 바뀌었는데 앞으로 교재 수령등 행정 업무에 문제가 있을 것 같아 말씀드리려고 하는데 어느 분께 말씀드리면 좋을까요?,부트캠프를 담당하는 프로에게 디스코드 DM으로 알려주시면 됩니다.
행정,"외출, 출결",오늘 외출하더라도 VOD 수강시간 6시간(멋사 LMS)은 다채워야하는건가요?,"네, 미수강시 결석처리 됩니다. 정해진 강의시간에 맞게 당일 밤 11시 59분까지 VOD 학습을 완료해주시기 바랍니다."
행정,QR,"QR 오류(QR 미인식, 시스템 오류 등)가 발생하면 어떻게 하면 되나요?","현재 오류 화면을 캡처하여 보내주시고, 출결 정정을 위해 zoom에 얼굴이 잘 보일 수 있도록 해주세요. Zoom 스크린샷으로 대체될 예정입니다. 오전 9시, 오후 2시, 오후 6시에 Zoom 화면에서 본인 이름, 눈, 코, 입이 모두 정상적으로 잘 보이는 줌 캡쳐화면을 확보해주세요. 이후 부트캠프 담당자에게 전달해주세요.

추가로 설정에서 어플 카메라 설정을 확인해보셨다면 어플 재설치를 권장드리며 Zoom 9시 이전 입실 시간과 6시 이후 퇴실 시간을 지켜주시길 바랍니다. 휴대폰 재부팅도 진행 부탁드립니다."
행정,출결,"제가 며칠 동안 타지역으로 이동해야하는데, 혹시 집이 아닌 다른 장소에서 출석 및 수업 참여가 가능한가요?",네 가능합니다. 기존 하시던대로 시간 맞춰서 HRD 출석 앱에서 QR 잘 찍어주시면 됩니다. 다만 수업 시간 내에 이동은 불가능한 점 참고 부탁드립니다.
행정,QR,혹시 QR퇴실을 실수로 못했는데 어떻게 해야 하나요?,본인 부주의로 인한 출결 정정은 불가합니다. 입실 QR과 퇴실 QR을 꼭 잊지 마시고 완료해주시기 바랍니다.
행정,출결,"제가 오늘 오후 4시까지 수업을 못 듣는 일정이 있는데, 오늘 출결은 어떻게 해야 할까요?","하루 수업중, 4시간 이상 부재할 경우 결석처리 됩니다. 따라서 금일 출결은 결석처리될 예정입니다."
교육,줌,zoom 배경 화면도 설정해야 하나요? 어떻게 하나요?,해당 사항은 수강생 공식 안내 페이지(노션) 내 K-Digital Training 수강준비 가이드에 자세히 나와있음을 안내드립니다. 확인하시고 모두 설정 부탁드립니다.
행정,"외출, 출결",수업을 듣다가 외출해야 할 때는 어떻게 하나요?,"수업 중간 외출이 필요한 경우 출결 쓰레드에 메시지를 남겨주셔야 추후 부트캠프 담당자님께서 확인하시고 출결을 도와드릴 수 있습니다. 참고 부탁드립니다.

ex. 이름 : 김멋사
날짜,시간 : 10/18 화 16:00-18:00
사유 : 개인용무(은행)로 인한 조퇴
증빙자료 제출여부 : 네/아니오/확인필요(사유)
@[클래스매니저] 김사자"
행정,,제가 오리엔테이션을 듣고 고용형태를 지금 실업자로 변경해서 구글 폼을 작성하려고 하는데 자격상실 신고서가 없어서 없이 제출해도 될까요? 실업자로 변경은 되었습니다.,"일단 제출해주시고, 단위기간 종료 전에 한번 더 조사하도록 하겠습니다. 특이사항 있으시면 구글폼에 기재해주세요."
교육,출결,인터넷이 아주 가끔 잠시 끊기는 현상이 있는데 이러한 부분도( 줌 프로그렘 버퍼링이 생김 ) 쓰레드에 남겨야 하나요?,넵 맞습니다. 모두 출결정정쓰레드에 포맷 맞추어 남겨주세요.
교육,,수업 중에 화장실은 자유롭게 다녀와도 되나요?,다녀오셔도 됩니다. 다만 장시간 자리를 비우시는 경우에는 부트캠프 담당자님의 DM이 갈 수 있음을 인지해주시기 바랍니다.
행정,훈련장려금,현재 자영업자 상태인데 고용형태가 실업자가 아니면 훈련장려금 받지 못하나요?,고용 보험이 가입되어 있는 영세 자영업자의 경우 훈련장려금 수령이 가능합니다.
